feature,coefficient,odds_ratio
is_male,0.07784255044603045,1.080952449789697
bmi,0.0521425333137801,1.0535258943491659
race_asian,0.01113467332423609,1.011196894522383
race_hispanic,0.004805818690970732,1.004817385158976
age_group_num,0.0023052221636817387,1.0023078812311481
education_level,0.0008378250192306474,1.0008381760926512
income_level,-0.019527506750660874,0.980661919994752
race_black,-0.023435007818340476,0.9768374594034291
race_other,-0.02458844978211599,0.9757113836423309
physically_active,-0.028930504583802724,0.9714839758039409
